"subject" "activity" "signal" "variable" "average"
1 "laying" "fBodyAccJerk" "mean" -0.224923904431407
1 "laying" "fBodyAccJerk" "std" -0.187186729870456
1 "laying" "fBodyGyro" "mean" -0.232677517955439
1 "laying" "fBodyGyro" "std" -0.328920775332982
1 "laying" "tBodyAcc" "mean" 0.0495996122207018
1 "laying" "tBodyAcc" "std" -0.143102274768421
1 "laying" "tBodyAccJerk" "mean" 0.0327151122421053
1 "laying" "tBodyAccJerk" "std" -0.183104296731228
1 "laying" "tBodyGyro" "mean" -0.00880539747778947
1 "laying" "tBodyGyro" "std" -0.290803294675965
1 "laying" "tBodyGyroJerk" "mean" -0.0586571142729825
1 "laying" "tBodyGyroJerk" "std" -0.305381939340351
1 "laying" "tGravityAcc" "mean" 0.194985105403509
1 "laying" "tGravityAcc" "std" -0.965210943368421
2 "walking" "fBodyAcc" "mean" -0.97110317057971
2 "walking" "fBodyAcc" "std" -0.964766236086957
2 "walking" "fBodyAccJerk" "mean" -0.98337251557971
2 "walking" "fBodyAccJerk" "std" -0.986278046666667
2 "walking" "fBodyGyro" "mean" -0.974845711884058
2 "walking" "fBodyGyro" "std" -0.975895783333333
2 "walking" "tBodyAcc" "mean" 0.0507270285181159
2 "walking" "tBodyAcc" "std" -0.965784983478261
2 "walking" "tBodyAccJerk" "mean" 0.0305191197161594
2 "walking" "tBodyAccJerk" "std" -0.984519340434783
2 "walking" "tBodyGyro" "mean" -0.0213905318434783
2 "walking" "tBodyGyro" "std" -0.974821754492754
2 "walking" "tBodyGyroJerk" "mean" -0.0595927136152174
2 "walking" "tBodyGyroJerk" "std" -0.988713654492754
2 "walking" "tGravityAcc" "mean" 0.344524672435188
2 "walking" "tGravityAcc" "std" -0.963718302318841
2 "walking_upstairs" "fBodyAcc" "mean" -0.980302306527778
2 "walking_upstairs" "fBodyAcc" "std" -0.979687924236111
2 "walking_upstairs" "fBodyAccJerk" "mean" -0.984926338611111
2 "walking_upstairs" "fBodyAccJerk" "std" -0.987194339097222
2 "walking_upstairs" "fBodyGyro" "mean" -0.977474888472222
2 "walking_upstairs" "fBodyGyro" "std" -0.977981841527778
2 "walking_upstairs" "tBodyAcc" "mean" 0.0519896845944444
2 "walking_upstairs" "tBodyAcc" "std" -0.979523386805556
2 "walking_upstairs" "tBodyAccJerk" "mean" 0.0310164635540972
2 "walking_upstairs" "tBodyAccJerk" "std" -0.985828908125
2 "walking_upstairs" "tBodyGyro" "mean" 0.00486847159027778
2 "walking_upstairs" "tBodyGyro" "std" -0.976957800763889
2 "walking_upstairs" "tBodyGyroJerk" "mean" -0.0693371513
2 "walking_upstairs" "tBodyGyroJerk" "std" -0.990279736111111
2 "walking_upstairs" "tGravityAcc" "mean" 0.296539093611111
2 "walking_upstairs" "tGravityAcc" "std" -0.977152241597222
2 "walking_downstairs" "fBodyAcc" "mean" -0.968763210987654
2 "walking_downstairs" "fBodyAcc" "std" -0.964466298518519
2 "walking_downstairs" "fBodyAccJerk" "mean" -0.977199910555556
2 "walking_downstairs" "fBodyAccJerk" "std" -0.980376023333333
2 "walking_downstairs" "fBodyGyro" "mean" -0.966746987037037
2 "walking_downstairs" "fBodyGyro" "std" -0.97192615691358
2 "walking_downstairs" "tBodyAcc" "mean" 0.0511940363833333
2 "walking_downstairs" "tBodyAcc" "std" -0.964772909938272
2 "walking_downstairs" "tBodyAccJerk" "mean" 0.0255721495904938
2 "walking_downstairs" "tBodyAccJerk" "std" -0.978328867222222
2 "walking_downstairs" "tBodyGyro" "mean" -0.00602229192746914
2 "walking_downstairs" "tBodyGyro" "std" -0.969765776049383
2 "walking_downstairs" "tBodyGyroJerk" "mean" -0.0674860197895062
2 "walking_downstairs" "tBodyGyroJerk" "std" -0.978793792530864
2 "walking_downstairs" "tGravityAcc" "mean" 0.218871010407407
2 "walking_downstairs" "tGravityAcc" "std" -0.968935772592593
2 "sitting" "fBodyAcc" "mean" -0.179266153551458
2 "sitting" "fBodyAcc" "std" -0.110082370565972
2 "sitting" "fBodyAccJerk" "mean" -0.323069878258333
2 "sitting" "fBodyAccJerk" "std" -0.411353523194444
2 "sitting" "fBodyGyro" "mean" -0.356110274472222
2 "sitting" "fBodyGyro" "std" -0.384729935354167
2 "sitting" "tBodyAcc" "mean" 0.0244129258901389
2 "sitting" "tBodyAcc" "std" -0.102823382596528
2 "sitting" "tBodyAccJerk" "mean" 0.0280741226879861
2 "sitting" "tBodyAccJerk" "std" -0.345172397733333
2 "sitting" "tBodyGyro" "mean" -0.00698072367708333
2 "sitting" "tBodyGyro" "std" -0.356515729101389
2 "sitting" "tBodyGyroJerk" "mean" -0.0566023063805556
2 "sitting" "tBodyGyroJerk" "std" -0.525980553958333
2 "sitting" "tGravityAcc" "mean" 0.0595380964111111
2 "sitting" "tGravityAcc" "std" -0.912059750138889
2 "standing" "fBodyAcc" "mean" 0.0866318100304965
2 "standing" "fBodyAcc" "std" 0.00868189950992908
2 "standing" "fBodyAccJerk" "mean" -0.0123896264191489
2 "standing" "fBodyAccJerk" "std" -0.092478337193617
2 "standing" "fBodyGyro" "mean" -0.198394756004965
2 "standing" "fBodyGyro" "std" -0.420385695638298
2 "standing" "tBodyAcc" "mean" 0.0460469966148936
2 "standing" "tBodyAcc" "std" 0.068803520777305
2 "standing" "tBodyAccJerk" "mean" 0.028608618992695
2 "standing" "tBodyAccJerk" "std" -0.0220149551319149
2 "standing" "tBodyGyro" "mean" -0.00786561209503546
2 "standing" "tBodyGyro" "std" -0.33864892098156
2 "standing" "tBodyGyroJerk" "mean" -0.057091285764539
2 "standing" "tBodyGyroJerk" "std" -0.310534537421986
2 "standing" "tGravityAcc" "mean" 0.164054076207092
2 "standing" "tGravityAcc" "std" -0.937289532765957
2 "laying" "fBodyAcc" "mean" -0.27391978039322
2 "laying" "fBodyAcc" "std" -0.36069773879096
2 "laying" "fBodyAccJerk" "mean" -0.31277870540113
2 "laying" "fBodyAccJerk" "std" -0.31518140129661
2 "laying" "fBodyGyro" "mean" -0.460381851920904
2 "laying" "fBodyGyro" "std" -0.565652202259887
2 "laying" "tBodyAcc" "mean" 0.0507771028533333
2 "laying" "tBodyAcc" "std" -0.308997205567232
2 "laying" "tBodyAccJerk" "mean" 0.0293175582076271
2 "laying" "tBodyAccJerk" "std" -0.293407705962712
2 "laying" "tBodyGyro" "mean" -0.00614346136920904
2 "laying" "tBodyGyro" "std" -0.527029819548023
2 "laying" "tBodyGyroJerk" "mean" -0.0624024011683616
2 "laying" "tBodyGyroJerk" "std" -0.486394314971751
2 "laying" "tGravityAcc" "mean" 0.217045776836158
2 "laying" "tGravityAcc" "std" -0.972294309548023
3 "walking" "fBodyAcc" "mean" -0.926683372564103
3 "walking" "fBodyAcc" "std" -0.895194666666667
3 "walking" "fBodyAccJerk" "mean" -0.96665539474359
3 "walking" "fBodyAccJerk" "std" -0.969968288012821
3 "walking" "fBodyGyro" "mean" -0.949564048846154
3 "walking" "fBodyGyro" "std" -0.946085400705128
3 "walking" "tBodyAcc" "mean" 0.0517788934634615
3 "walking" "tBodyAcc" "std" -0.900912702820513
3 "walking" "tBodyAccJerk" "mean" 0.0237005498240385
3 "walking" "tBodyAccJerk" "std" -0.967586782435897
3 "walking" "tBodyGyro" "mean" -0.00658870855923077
3 "walking" "tBodyGyro" "std" -0.945567683397436
3 "walking" "tBodyGyroJerk" "mean" -0.0662349579690385
3 "walking" "tBodyGyroJerk" "std" -0.974978161730769
3 "walking" "tGravityAcc" "mean" 0.389140982107628
3 "walking" "tGravityAcc" "std" -0.919661261474359
3 "walking_upstairs" "fBodyAcc" "mean" -0.970055911182796
3 "walking_upstairs" "fBodyAcc" "std" -0.970354937795699
3 "walking_upstairs" "fBodyAccJerk" "mean" -0.976129220107527
3 "walking_upstairs" "fBodyAccJerk" "std" -0.979292844462366
3 "walking_upstairs" "fBodyGyro" "mean" -0.970202968655914
3 "walking_upstairs" "fBodyGyro" "std" -0.973425261129032
3 "walking_upstairs" "tBodyAcc" "mean" 0.0517535655768817
3 "walking_upstairs" "tBodyAcc" "std" -0.969508406182796
3 "walking_upstairs" "tBodyAccJerk" "mean" 0.0288096516559113
3 "walking_upstairs" "tBodyAccJerk" "std" -0.977227734139785
3 "walking_upstairs" "tBodyGyro" "mean" 0.0151105970454301
3 "walking_upstairs" "tBodyGyro" "std" -0.971774671612903
3 "walking_upstairs" "tBodyGyroJerk" "mean" -0.0692518484569892
3 "walking_upstairs" "tBodyGyroJerk" "std" -0.983476555483871
3 "walking_upstairs" "tGravityAcc" "mean" 0.361325602258065
3 "walking_upstairs" "tGravityAcc" "std" -0.976174162204301
3 "walking_downstairs" "fBodyAcc" "mean" -0.935902166174863
3 "walking_downstairs" "fBodyAcc" "std" -0.922388963497268
3 "walking_downstairs" "fBodyAccJerk" "mean" -0.956779911256831
3 "walking_downstairs" "fBodyAccJerk" "std" -0.96003847284153
3 "walking_downstairs" "fBodyGyro" "mean" -0.918388654153005
3 "walking_downstairs" "fBodyGyro" "std" -0.91495181989071
3 "walking_downstairs" "tBodyAcc" "mean" 0.0546957117129945
3 "walking_downstairs" "tBodyAcc" "std" -0.923870288415301
3 "walking_downstairs" "tBodyAccJerk" "mean" 0.0249116397774863
3 "walking_downstairs" "tBodyAccJerk" "std" -0.957277636666667
3 "walking_downstairs" "tBodyGyro" "mean" -0.00554886449781421
3 "walking_downstairs" "tBodyGyro" "std" -0.913538309071038
3 "walking_downstairs" "tBodyGyroJerk" "mean" -0.0627950198786885
3 "walking_downstairs" "tBodyGyroJerk" "std" -0.955888134043716
3 "walking_downstairs" "tGravityAcc" "mean" 0.219352918316393
3 "walking_downstairs" "tGravityAcc" "std" -0.955869109071038
3 "sitting" "fBodyAcc" "mean" -0.325102718537853
3 "sitting" "fBodyAcc" "std" -0.214723375206215
3 "sitting" "fBodyAccJerk" "mean" -0.479840462603333
3 "sitting" "fBodyAccJerk" "std" -0.497781299067797
3 "sitting" "fBodyGyro" "mean" -0.482337850531073
3 "sitting" "fBodyGyro" "std" -0.533988196045198
3 "sitting" "tBodyAcc" "mean" 0.0394480228583051
3 "sitting" "tBodyAcc" "std" -0.223749986785876
3 "sitting" "tBodyAccJerk" "mean" 0.034411193159096
3 "sitting" "tBodyAccJerk" "std" -0.472865564451412
3 "sitting" "tBodyGyro" "mean" -0.0151723350016949
3 "sitting" "tBodyGyro" "std" -0.510369804514124
3 "sitting" "tBodyGyroJerk" "mean" -0.0684553026570622
3 "sitting" "tBodyGyroJerk" "std" -0.61882628299435
3 "sitting" "tGravityAcc" "mean" 0.112579442372881
3 "sitting" "tGravityAcc" "std" -0.921112149435028
3 "standing" "fBodyAcc" "mean" -0.151441197204082
3 "standing" "fBodyAcc" "std" -0.18829570254966
3 "standing" "fBodyAccJerk" "mean" -0.251889568585034
3 "standing" "fBodyAccJerk" "std" -0.308898737677803
3 "standing" "fBodyGyro" "mean" -0.324875733185714
3 "standing" "fBodyGyro" "std" -0.469963061506803
3 "standing" "tBodyAcc" "mean" 0.0523094112842857
3 "standing" "tBodyAcc" "std" -0.150933555112925
3 "standing" "tBodyAccJerk" "mean" 0.0271708088619728
3 "standing" "tBodyAccJerk" "std" -0.256325147421769
3 "standing" "tBodyGyro" "mean" -0.00722744749795918
3 "standing" "tBodyGyro" "std" -0.41690052317483
3 "standing" "tBodyGyroJerk" "mean" -0.0528820904122449
3 "standing" "tBodyGyroJerk" "std" -0.447078637605442
3 "standing" "tGravityAcc" "mean" 0.202625271809524
3 "standing" "tGravityAcc" "std" -0.932033238367347
3 "laying" "fBodyAcc" "mean" -0.2700968405
3 "laying" "fBodyAcc" "std" -0.308768695724713
3 "laying" "fBodyAccJerk" "mean" -0.31978009604023
3 "laying" "fBodyAccJerk" "std" -0.281913576253506
3 "laying" "fBodyGyro" "mean" -0.472499415517241
3 "laying" "fBodyGyro" "std" -0.576635477126437
3 "laying" "tBodyAcc" "mean" 0.0485719392736782
3 "laying" "tBodyAcc" "std" -0.272560928518391
3 "laying" "tBodyAccJerk" "mean" 0.0286370302725862
3 "laying" "tBodyAccJerk" "std" -0.281042573228161
3 "laying" "tBodyGyro" "mean" -0.00740233957011494
3 "laying" "tBodyGyro" "std" -0.537453077298851
3 "laying" "tBodyGyroJerk" "mean" -0.0614629639185632
3 "laying" "tBodyGyroJerk" "std" -0.520558350172414
3 "laying" "tGravityAcc" "mean" 0.178804173028736
3 "laying" "tGravityAcc" "std" -0.96407300862069
4 "walking" "fBodyAcc" "mean" -0.945009724466667
4 "walking" "fBodyAcc" "std" -0.932791618466667
4 "walking" "fBodyAccJerk" "mean" -0.965433003
4 "walking" "fBodyAccJerk" "std" -0.9699231728
4 "walking" "fBodyGyro" "mean" -0.953983391933333
4 "walking" "fBodyGyro" "std" -0.9534406268
4 "walking" "tBodyAcc" "mean" 0.0528335396273333
4 "walking" "tBodyAcc" "std" -0.93424563956
4 "walking" "tBodyAccJerk" "mean" 0.018480603877
4 "walking" "tBodyAccJerk" "std" -0.966792355866667
4 "walking" "tBodyGyro" "mean" -0.01257441262
4 "walking" "tBodyGyro" "std" -0.9521907134
4 "walking" "tBodyGyroJerk" "mean" -0.0625981031344
4 "walking" "tBodyGyroJerk" "std" -0.9743819736
4 "walking" "tGravityAcc" "mean" 0.397015342472298
4 "walking" "tGravityAcc" "std" -0.955027217753333
4 "walking_upstairs" "fBodyAcc" "mean" -0.955063243641975
4 "walking_upstairs" "fBodyAcc" "std" -0.953666768950617
4 "walking_upstairs" "fBodyAccJerk" "mean" -0.965965258024691
4 "walking_upstairs" "fBodyAccJerk" "std" -0.968235803518519
4 "walking_upstairs" "fBodyGyro" "mean" -0.966956946049383
4 "walking_upstairs" "fBodyGyro" "std" -0.965694902098765
4 "walking_upstairs" "tBodyAcc" "mean" 0.045955960187037
4 "walking_upstairs" "tBodyAcc" "std" -0.95285836537037
4 "walking_upstairs" "tBodyAccJerk" "mean" 0.0313240035433519
4 "walking_upstairs" "tBodyAccJerk" "std" -0.966341417901235
4 "walking_upstairs" "tBodyGyro" "mean" 0.0224920075148148
4 "walking_upstairs" "tBodyGyro" "std" -0.965428489691358
4 "walking_upstairs" "tBodyGyroJerk" "mean" -0.0714528499135803
4 "walking_upstairs" "tBodyGyroJerk" "std" -0.981974731296296
4 "walking_upstairs" "tGravityAcc" "mean" 0.278677250864198
4 "walking_upstairs" "tGravityAcc" "std" -0.955731070185185
4 "walking_downstairs" "fBodyAcc" "mean" -0.931563391964286
4 "walking_downstairs" "fBodyAcc" "std" -0.907890745720238
4 "walking_downstairs" "fBodyAccJerk" "mean" -0.959527849345238
4 "walking_downstairs" "fBodyAccJerk" "std" -0.965337179345238
4 "walking_downstairs" "fBodyGyro" "mean" -0.925579354166667
4 "walking_downstairs" "fBodyGyro" "std" -0.924980755119048
4 "walking_downstairs" "tBodyAcc" "mean" 0.05828438145125
4 "walking_downstairs" "tBodyAcc" "std" -0.911799499047619
4 "walking_downstairs" "tBodyAccJerk" "mean" 0.0148045639970655
4 "walking_downstairs" "tBodyAccJerk" "std" -0.961331806964286
4 "walking_downstairs" "tBodyGyro" "mean" -0.00563538059047619
4 "walking_downstairs" "tBodyGyro" "std" -0.922970053333333
4 "walking_downstairs" "tBodyGyroJerk" "mean" -0.066086321355119
4 "walking_downstairs" "tBodyGyroJerk" "std" -0.96122702422619
4 "walking_downstairs" "tGravityAcc" "mean" 0.349063570363095
4 "walking_downstairs" "tGravityAcc" "std" -0.929975531994048
4 "sitting" "fBodyAcc" "mean" -0.31208438485
4 "sitting" "fBodyAcc" "std" -0.206587160915705
4 "sitting" "fBodyAccJerk" "mean" -0.468738922927308
4 "sitting" "fBodyAccJerk" "std" -0.491353263532051
4 "sitting" "fBodyGyro" "mean" -0.468714977051282
4 "sitting" "fBodyGyro" "std" -0.465968828333333
4 "sitting" "tBodyAcc" "mean" 0.041558937212859
4 "sitting" "tBodyAcc" "std" -0.21458691037141
4 "sitting" "tBodyAccJerk" "mean" 0.0276339662153846
4 "sitting" "tBodyAccJerk" "std" -0.462842171519231
4 "sitting" "tBodyGyro" "mean" 0.012603578624359
4 "sitting" "tBodyGyro" "std" -0.455475886794872
4 "sitting" "tBodyGyroJerk" "mean" -0.0809241934224359
4 "sitting" "tBodyGyroJerk" "std" -0.643542047115385
4 "sitting" "tGravityAcc" "mean" 0.265829182698718
4 "sitting" "tGravityAcc" "std" -0.933830235961538
4 "standing" "fBodyAcc" "mean" -0.23217643957037
4 "standing" "fBodyAcc" "std" -0.265405264859259
4 "standing" "fBodyAccJerk" "mean" -0.30616396926963
4 "standing" "fBodyAccJerk" "std" -0.35143983036
4 "standing" "fBodyGyro" "mean" -0.425383738300741
4 "standing" "fBodyGyro" "std" -0.576031946540741
4 "standing" "tBodyAcc" "mean" 0.0544619321496296
4 "standing" "tBodyAcc" "std" -0.22886358415963
4 "standing" "tBodyAccJerk" "mean" 0.0318442331244444
4 "standing" "tBodyAccJerk" "std" -0.306216330143778
4 "standing" "tBodyGyro" "mean" -0.0379924894288889
4 "standing" "tBodyGyro" "std" -0.522726344281481
4 "standing" "tBodyGyroJerk" "mean" -0.0587518027933333
4 "standing" "tBodyGyroJerk" "std" -0.512877936125926
4 "standing" "tGravityAcc" "mean" 0.344787130086667
4 "standing" "tGravityAcc" "std" -0.94169290562963
4 "laying" "fBodyAcc" "mean" -0.402374851313333
4 "laying" "fBodyAcc" "std" -0.381077568632833
4 "laying" "fBodyAccJerk" "mean" -0.455809466955556
4 "laying" "fBodyAccJerk" "std" -0.426528388694444
4 "laying" "fBodyGyro" "mean" -0.5544085755
4 "laying" "fBodyGyro" "std" -0.637921001444444
4 "laying" "tBodyAcc" "mean" 0.0507796675941667
4 "laying" "tBodyAcc" "std" -0.368636504978333
4 "laying" "tBodyAccJerk" "mean" 0.0268470843888889
4 "laying" "tBodyAccJerk" "std" -0.423199708871667
4 "laying" "tBodyGyro" "mean" -0.00797368917205556
4 "laying" "tBodyGyro" "std" -0.609639659277778
4 "laying" "tBodyGyroJerk" "mean" -0.069928563555
4 "laying" "tBodyGyroJerk" "std" -0.646738378888889
4 "laying" "tGravityAcc" "mean" 0.335303260977778
4 "laying" "tGravityAcc" "std" -0.971585942611111
5 "walking" "fBodyAcc" "mean" -0.948316588181818
5 "walking" "fBodyAcc" "std" -0.9355752942
5 "walking" "fBodyAccJerk" "mean" -0.966587923863636
5 "walking" "fBodyAccJerk" "std" -0.969005773106061
5 "walking" "fBodyGyro" "mean" -0.950193679015152
5 "walking" "fBodyGyro" "std" -0.954769439166667
5 "walking" "tBodyAcc" "mean" 0.0517510013363636
5 "walking" "tBodyAcc" "std" -0.937124961098485
5 "walking" "tBodyAccJerk" "mean" 0.0251853678592727
5 "walking" "tBodyAccJerk" "std" -0.967142546969697
5 "walking" "tBodyGyro" "mean" -0.0144634945916667
5 "walking" "tBodyGyro" "std" -0.952309163409091
5 "walking" "tBodyGyroJerk" "mean" -0.0610721793878788
5 "walking" "tBodyGyroJerk" "std" -0.968783145378788
5 "walking" "tGravityAcc" "mean" 0.397394608491667
5 "walking" "tGravityAcc" "std" -0.956029840310606
5 "walking_upstairs" "fBodyAcc" "mean" -0.970389641346154
5 "walking_upstairs" "fBodyAcc" "std" -0.967915090512821
5 "walking_upstairs" "fBodyAccJerk" "mean" -0.977089510897436
5 "walking_upstairs" "fBodyAccJerk" "std" -0.979334483141026
5 "walking_upstairs" "fBodyGyro" "mean" -0.972416695320513
5 "walking_upstairs" "fBodyGyro" "std" -0.973756436282051
5 "walking_upstairs" "tBodyAcc" "mean" 0.0506975031923077
5 "walking_upstairs" "tBodyAcc" "std" -0.96793087974359
5 "walking_upstairs" "tBodyAccJerk" "mean" 0.0297501397075641
5 "walking_upstairs" "tBodyAccJerk" "std" -0.977762553846154
5 "walking_upstairs" "tBodyGyro" "mean" 0.0193766353255769
5 "walking_upstairs" "tBodyGyro" "std" -0.972503284679487
5 "walking_upstairs" "tBodyGyroJerk" "mean" -0.0711299287596154
5 "walking_upstairs" "tBodyGyroJerk" "std" -0.985620443076923
5 "walking_upstairs" "tGravityAcc" "mean" 0.245021480128205
5 "walking_upstairs" "tGravityAcc" "std" -0.969578678333333
5 "walking_downstairs" "fBodyAcc" "mean" -0.923460358988095
5 "walking_downstairs" "fBodyAcc" "std" -0.898944324875
5 "walking_downstairs" "fBodyAccJerk" "mean" -0.950956056845238
5 "walking_downstairs" "fBodyAccJerk" "std" -0.956684607559524
5 "walking_downstairs" "fBodyGyro" "mean" -0.918742054464286
5 "walking_downstairs" "fBodyGyro" "std" -0.920476027797619
5 "walking_downstairs" "tBodyAcc" "mean" 0.0577897032170833
5 "walking_downstairs" "tBodyAcc" "std" -0.902453016964286
5 "walking_downstairs" "tBodyAccJerk" "mean" 0.019339287236369
5 "walking_downstairs" "tBodyAccJerk" "std" -0.952565446607143
5 "walking_downstairs" "tBodyGyro" "mean" -0.00472137295755952
5 "walking_downstairs" "tBodyGyro" "std" -0.917201627380952
5 "walking_downstairs" "tBodyGyroJerk" "mean" -0.0581193131160714
5 "walking_downstairs" "tBodyGyroJerk" "std" -0.949287709583333
5 "walking_downstairs" "tGravityAcc" "mean" 0.353372336354762
5 "walking_downstairs" "tGravityAcc" "std" -0.940223548392857
5 "sitting" "fBodyAcc" "mean" -0.182021900326241
5 "sitting" "fBodyAcc" "std" -0.042985741529078
5 "sitting" "fBodyAccJerk" "mean" -0.364420285326241
5 "sitting" "fBodyAccJerk" "std" -0.333154902339007
5 "sitting" "fBodyGyro" "mean" -0.306675178766667
5 "sitting" "fBodyGyro" "std" -0.428516660070922
5 "sitting" "tBodyAcc" "mean" 0.0428203468282269
5 "sitting" "tBodyAcc" "std" -0.0565467657652482
5 "sitting" "tBodyAccJerk" "mean" 0.0226554771369504
5 "sitting" "tBodyAccJerk" "std" -0.329097403070922
5 "sitting" "tBodyGyro" "mean" -0.0117440525680851
5 "sitting" "tBodyGyro" "std" -0.383046473950355
5 "sitting" "tBodyGyroJerk" "mean" -0.0841696014003546
5 "sitting" "tBodyGyroJerk" "std" -0.406407209758865
5 "sitting" "tGravityAcc" "mean" 0.215891909773262
5 "sitting" "tGravityAcc" "std" -0.925170422907801
5 "standing" "fBodyAcc" "mean" -0.0656933370496454
5 "standing" "fBodyAcc" "std" 0.00332795406312057
5 "standing" "fBodyAccJerk" "mean" -0.195194819013475
5 "standing" "fBodyAccJerk" "std" -0.149983377475745
5 "standing" "fBodyGyro" "mean" -0.237334401482766
5 "standing" "fBodyGyro" "std" -0.440399634468085
5 "standing" "tBodyAcc" "mean" 0.0615743070453901
5 "standing" "tBodyAcc" "std" 0.0133059170843972
5 "standing" "tBodyAccJerk" "mean" 0.0482507300950355
5 "standing" "tBodyAccJerk" "std" -0.147682952079433
